0 0 0
2 2 0
3 1 1
4 1 2
9 5 3
17 8 4
23 6 5
30 7 6
39 9 7
49 10 8
60 11 9
72 12 10
86 14 11
102 16 12
119 17 13
137 18 14
157 20 15
178 21 16
200 22 17
224 24 18
249 25 19
275 26 20
303 28 21
333 30 22
364 31 23
396 32 24
430 34 25
465 35 26
501 36 27
539 38 28
578 39 29
619 41 30
661 42 31
705 44 32
750 45 33
796 46 34
844 48 35
893 49 36
943 50 37
995 52 38
1048 53 39
1102 54 40
1159 57 41
1217 58 42
1277 60 43
1338 61 44
1400 62 45
1464 64 46
1530 66 47
1597 67 48
1665 68 49
1735 70 50
1806 71 51
1878 72 52
1952 74 53
2028 76 54
2106 78 55
2185 79 56
2265 80 57
2347 82 58
2387 40 59
