0 0 0
4 4 0
12 8 1
21 9 2
24 3 3
32 8 4
41 9 5
50 9 6
61 11 7
73 12 8
87 14 9
102 15 10
118 16 11
135 17 12
152 17 13
171 19 14
190 19 15
210 20 16
232 22 17
255 23 18
280 25 19
306 26 20
333 27 21
361 28 22
390 29 23
420 30 24
451 31 25
482 31 26
514 32 27
547 33 28
582 35 29
619 37 30
663 44 31
709 46 32
752 43 33
800 48 34
848 48 35
903 55 36
953 50 37
1010 57 38
1071 61 39
1137 66 40
1214 77 41
1287 73 42
1366 79 43
1439 73 44
1516 77 45
1609 93 46
1635 26 47
1677 42 48
1721 44 49
1768 47 50
1815 47 51
1866 51 52
1919 53 53
1973 54 54
2030 57 55
2089 59 56
2153 64 57
2219 66 58
2287 68 59
