
> myapp@0.0.0 start /home/sameer/RGordon/dummyServer
> node ./bin/www

1 1 0
2 1 1
3 1 2
14 11 3
31 17 4
41 10 5
54 13 6
68 14 7
83 15 8
99 16 9
116 17 10
134 18 11
153 19 12
173 20 13
194 21 14
215 21 15
237 22 16
260 23 17
284 24 18
309 25 19
335 26 20
362 27 21
390 28 22
419 29 23
449 30 24
481 32 25
514 33 26
548 34 27
583 35 28
619 36 29
656 37 30
694 38 31
733 39 32
773 40 33
814 41 34
856 42 35
899 43 36
943 44 37
988 45 38
1034 46 39
1081 47 40
1125 44 41
1174 49 42
1224 50 43
1275 51 44
1326 51 45
1379 53 46
1433 54 47
1488 55 48
1544 56 49
1601 57 50
1659 58 51
1718 59 52
1778 60 53
1839 61 54
1901 62 55
1964 63 56
2028 64 57
2094 66 58
2141 47 59
2208 67 60
2276 68 61
2345 69 62
2415 70 63
2486 71 64
2558 72 65
2632 74 66
2707 75 67
2783 76 68
2860 77 69
2938 78 70
3017 79 71
3097 80 72
3178 81 73
3218 40 74
3258 40 75
3299 41 76
3341 42 77
3384 43 78
3428 44 79
3473 45 80
3519 46 81
3566 47 82
3614 48 83
3663 49 84
3713 50 85
3764 51 86
3816 52 87
3869 53 88
3923 54 89
3978 55 90
4034 56 91
4091 57 92
4125 34 93
4166 41 94
4226 60 95
4287 61 96
4349 62 97
4412 63 98
4476 64 99
4541 65 100
4607 66 101
4674 67 102
4742 68 103
4811 69 104
4858 47 105
4929 71 106
5001 72 107
5074 73 108
5148 74 109
5223 75 110
5299 76 111
5376 77 112
5454 78 113
5533 79 114
